"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"1";39;6;77516;13;3;9;4;1;1;2174;0;40;1;1
"2";50;2;83311;13;1;5;3;1;1;0;0;13;1;1
"3";38;1;215646;9;2;7;4;1;1;0;0;40;1;1
"4";53;1;234721;7;1;7;3;5;1;0;0;40;1;1
"5";28;1;338409;13;1;6;1;5;0;0;0;40;13;1
"6";37;1;284582;14;1;5;1;1;0;0;0;40;1;1
"7";49;1;160187;5;6;3;4;5;0;0;0;16;19;1
"8";52;2;209642;9;1;5;3;1;1;0;0;45;1;2
"9";31;1;45781;14;3;6;4;1;0;14084;0;50;1;2
"10";42;1;159449;13;1;5;3;1;1;5178;0;40;1;2
"11";37;1;280464;10;1;5;3;5;1;0;0;80;1;2
"12";30;6;141297;13;1;6;3;2;1;0;0;40;8;2
"13";23;1;122272;13;3;9;2;1;0;0;0;30;1;1
"14";32;1;205019;12;3;4;4;5;1;0;0;50;1;1
"15";40;1;121772;11;1;2;3;2;1;0;0;40;NA;2
"16";34;1;245487;4;1;11;3;3;1;0;0;45;21;1
"17";25;2;176756;9;3;10;2;1;1;0;0;35;1;1
"18";32;1;186824;9;3;8;6;1;1;0;0;40;1;1
"19";38;1;28887;7;1;4;3;1;1;0;0;50;1;1
"20";43;2;292175;14;2;5;6;1;0;0;0;45;1;2
"21";40;1;193524;16;1;6;3;1;1;0;0;60;1;2
"22";54;1;302146;9;4;3;6;5;0;0;0;20;1;1
"23";35;4;76845;5;1;10;3;5;1;0;0;40;1;1
"24";43;1;117037;7;1;11;3;1;1;0;2042;40;1;1
"25";59;1;109015;9;2;1;6;1;0;0;0;40;1;1
"26";56;5;216851;13;1;1;3;1;1;0;0;40;1;2
"27";19;1;168294;9;3;2;2;1;1;0;0;40;1;1
"28";54;NA;180211;10;1;NA;3;2;1;0;0;60;11;2
"29";39;1;367260;9;2;5;4;1;1;0;0;80;1;1
"30";49;1;193366;9;1;2;3;1;1;0;0;40;1;1
"31";23;5;190709;12;3;13;4;1;1;0;0;52;1;1
"32";20;1;266015;10;3;4;2;5;1;0;0;44;1;1
"33";45;1;386940;13;2;5;2;1;1;0;1408;40;1;1
"34";30;4;59951;10;1;9;2;1;1;0;0;40;1;1
"35";22;6;311512;10;1;3;3;5;1;0;0;15;1;1
"36";48;1;242406;7;3;8;6;1;1;0;0;40;4;1
"37";21;1;197200;10;3;8;2;1;1;0;0;40;1;1
"38";19;1;544091;9;7;9;1;1;0;0;0;25;1;1
"39";31;1;84154;10;1;4;3;1;1;0;0;38;NA;2
"40";48;2;265477;12;1;6;3;1;1;0;0;40;1;1
"41";31;1;507875;5;1;8;3;1;1;0;0;43;1;1
"42";53;2;88506;13;1;6;3;1;1;0;0;40;1;1
"43";24;1;172987;13;1;1;3;1;1;0;0;50;1;1
"44";49;1;94638;9;4;9;6;1;0;0;0;40;1;1
"45";25;1;289980;9;3;7;4;1;1;0;0;35;1;1
"46";57;4;337895;13;1;6;3;5;1;0;0;40;1;2
"47";53;1;144361;9;1;8;3;1;1;0;0;38;1;1
"48";44;1;128354;14;2;5;6;1;0;0;0;40;1;1
"49";41;6;101603;11;1;2;3;1;1;0;0;40;1;1
"50";29;1;271466;11;3;6;4;1;1;0;0;43;1;1
"51";25;1;32275;10;1;5;1;4;0;0;0;40;1;1
"52";18;1;226956;9;3;3;2;1;0;0;0;30;NA;1
"53";47;1;51835;15;1;6;1;1;0;0;1902;60;15;2
"54";50;4;251585;13;2;5;4;1;1;0;0;55;1;2
"55";47;3;109832;9;2;5;4;1;1;0;0;60;1;1
"56";43;1;237993;10;1;1;3;1;1;0;0;40;1;2
"57";46;1;216666;3;1;8;3;1;1;0;0;40;21;1
"58";35;1;56352;11;1;3;3;1;1;0;0;40;4;1
"59";41;1;147372;9;1;9;3;1;1;0;0;48;1;1
"60";30;1;188146;9;1;8;3;1;1;5013;0;40;1;1
"61";30;1;59496;13;1;4;3;1;1;2407;0;40;1;1
"62";32;NA;293936;4;6;NA;4;1;1;0;0;40;NA;1
"63";48;1;149640;9;1;11;3;1;1;0;0;40;1;1
"64";42;1;116632;16;1;6;3;1;1;0;0;45;1;2
"65";29;1;105598;10;2;1;4;1;1;0;0;58;1;1
"66";36;1;155537;9;1;2;3;1;1;0;0;40;1;1
"67";28;1;183175;10;2;9;4;1;0;0;0;40;1;1
"68";53;1;169846;9;1;9;1;1;0;0;0;40;1;2
"69";49;3;191681;10;1;5;3;1;1;0;0;50;1;2
"70";25;NA;200681;10;3;NA;2;1;1;0;0;40;1;1
"71";19;1;101509;10;3;6;2;1;1;0;0;32;1;1
"72";31;1;309974;13;4;4;2;5;0;0;0;40;1;1
"73";29;2;162298;13;1;4;3;1;1;0;0;70;1;2
"74";23;1;211678;10;3;8;4;1;1;0;0;40;1;1
"75";79;1;124744;10;1;6;5;1;1;0;0;20;1;1
"76";27;1;213921;9;3;3;2;1;1;0;0;40;21;1
"77";40;1;32214;12;1;9;3;1;1;0;0;40;1;1
"78";67;NA;212759;6;1;NA;3;1;1;0;0;2;1;1
"79";18;1;309634;7;3;3;2;1;0;0;0;22;1;1
"80";31;5;125927;4;1;10;3;1;1;0;0;40;1;1
"81";18;1;446839;9;3;4;4;1;1;0;0;30;1;1
"82";52;1;276515;13;1;3;3;1;1;0;0;40;13;1
"83";46;1;51618;9;1;3;1;1;0;0;0;40;1;1
"84";59;1;159937;9;1;4;3;1;1;0;0;48;1;1
"85";44;1;343591;9;2;2;4;1;0;14344;0;40;1;2
"86";53;1;346253;9;2;4;2;1;0;0;0;35;1;1
"87";49;5;268234;9;1;13;3;1;1;0;0;40;1;2
"88";33;1;202051;14;1;6;3;1;1;0;0;50;1;1
"89";30;1;54334;5;3;4;4;1;1;0;0;40;1;1
"90";43;4;410867;16;3;6;4;1;0;0;0;50;1;2
"91";57;1;249977;11;1;6;3;1;1;0;0;40;1;1
"92";37;1;286730;10;2;2;6;1;0;0;0;40;1;1
"93";28;1;212563;10;2;8;6;5;0;0;0;25;1;1
"94";30;1;117747;9;1;4;1;2;0;0;1573;35;NA;1
"95";34;5;226296;13;1;13;3;1;1;0;0;40;1;2
"96";29;5;115585;10;3;7;4;1;1;0;0;50;1;1
"97";48;2;191277;16;1;6;3;1;1;0;1902;60;1;2
"98";37;1;202683;10;1;4;3;1;1;0;0;48;1;2
"99";48;1;171095;12;2;5;6;1;0;0;0;40;3;1
"100";32;4;249409;9;3;3;2;5;1;0;0;40;1;1
"101";76;1;124191;14;1;5;3;1;1;0;0;40;1;2
"102";44;1;198282;13;1;5;3;1;1;15024;0;60;1;2
"103";47;2;149116;14;3;6;4;1;0;0;0;50;1;1
"104";20;1;188300;10;3;1;2;1;0;0;0;40;1;1
"105";29;1;103432;9;3;2;4;1;1;0;0;40;1;1
"106";32;3;317660;9;1;2;3;1;1;7688;0;40;1;2
"107";17;NA;304873;6;3;NA;2;1;0;34095;0;32;1;1
"108";30;1;194901;7;3;7;2;1;1;0;0;40;1;1
"109";31;5;189265;9;3;9;4;1;0;0;0;40;1;1
"110";42;1;124692;9;1;7;3;1;1;0;0;40;1;1
"111";24;1;432376;13;3;4;5;1;1;0;0;40;1;1
"112";38;1;65324;15;1;6;3;1;1;0;0;40;1;2
"113";56;2;335605;9;1;3;3;1;1;0;1887;50;5;2
"114";28;1;377869;10;1;4;1;1;0;4064;0;25;1;1
"115";36;1;102864;9;3;8;2;1;0;0;0;40;1;1
"116";53;1;95647;5;1;7;3;1;1;0;0;50;1;1
"117";56;3;303090;10;1;4;3;1;1;0;0;50;1;1
"118";49;5;197371;11;1;2;3;5;1;0;0;40;1;2
"119";55;1;247552;10;1;4;3;1;1;0;0;56;1;1
